X,Y,Status,Timestamp
0.75,0.65,Healthy,66.044,corn leaf blight,0.5597198009490967
0.75,0.65,Healthy,69.436,corn leaf blight,0.5597198009490967
0.75,0.65,Healthy,72.61,corn leaf blight,0.5597198009490967
0.0,0.0,Unhealthy,10.001,corn leaf blight,0.5391176342964172
0.88,0.58,Unhealthy,15.361,corn leaf blight,0.44882190227508545
0.0,-0.0,Unhealthy,11.732,potato leaf late blight,0.30323752760887146
0.48,-0.0,Unhealthy,15.541,potato leaf late blight,0.36943140625953674
0.41,1.13,Unhealthy,21.445,corn leaf blight,0.5645498633384705
0.0,-0.0,Unhealthy,27.26,potato leaf late blight,0.3355085551738739
1.65,-0.0,Unhealthy,30.714,corn leaf blight,0.6613361835479736
1.75,0.0,Unhealthy,33.835,corn leaf blight,0.6613361835479736
1.75,0.0,Unhealthy,36.863,corn leaf blight,0.6613361835479736
1.75,0.0,Unhealthy,40.024,corn leaf blight,0.6613361835479736
1.75,0.0,Unhealthy,43.294,corn leaf blight,0.6613361835479736
1.75,0.0,Unhealthy,46.777,corn leaf blight,0.6613361835479736
1.75,0.0,Unhealthy,50.008,corn leaf blight,0.6613361835479736
1.75,0.0,Unhealthy,53.162,corn leaf blight,0.6606071591377258
2.36,0.49,Unhealthy,57.073,potato leaf late blight,0.48391732573509216
2.34,0.57,Unhealthy,60.149,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,63.202,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,66.39,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,69.761,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,72.978,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,76.241,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,79.293,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,82.32,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,85.729,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,88.928,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,92.237,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,95.243,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,98.49,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,101.64,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,104.961,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,108.324,potato leaf late blight,0.4671091139316559
2.34,0.57,Unhealthy,111.659,potato leaf late blight,0.4671091139316559
2.62,0.4,Unhealthy,114.709,corn leaf blight,0.5689263343811035
2.94,0.37,Unhealthy,117.741,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,121.0,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,124.252,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,127.294,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,130.753,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,133.781,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,136.902,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,140.003,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,143.156,corn leaf blight,0.8095243573188782
3.31,0.34,Unhealthy,146.391,corn leaf blight,0.8095243573188782
0.0,-0.0,Unhealthy,17.532,corn leaf blight,0.5556544065475464
0.89,0.9,Unhealthy,20.676,corn leaf blight,0.7987673282623291
1.31,1.18,Unhealthy,23.83,corn gray leaf spot,0.6694003343582153
0.75,3.8,Unhealthy,32.012,corn leaf blight,0.7539889216423035
0.99,4.0,Unhealthy,35.299,corn leaf blight,0.7650581002235413
0.99,4.0,Unhealthy,38.374,corn leaf blight,0.7650581002235413
1.74,3.72,Unhealthy,45.046,grape leaf,0.5282935500144958
0.63,5.95,Unhealthy,77.663,corn rust leaf,0.31370389461517334
1.16,6.16,Unhealthy,81.175,corn leaf blight,0.3573751449584961
1.16,6.16,Unhealthy,84.422,corn leaf blight,0.3573751449584961
0.0,-0.0,Unhealthy,Potato leaf late blight,0.684,9.704
0.6,-0.0,Unhealthy,Potato leaf late blight,0.562,13.2
0.88,-0.78,Unhealthy,Corn rust leaf,0.417,20.391
1.06,-1.26,Healthy,Raspberry leaf,0.63,23.615
1.52,-2.7,Healthy,Strawberry leaf,0.848,27.187
1.01,-2.57,Unhealthy,Corn Gray leaf spot,0.388,30.23
0.4,-1.78,Healthy,Tomato leaf,0.321,39.55
0.9,-2.67,Healthy,Tomato leaf,0.602,42.774
0.73,-2.96,Healthy,Tomato leaf,0.891,45.929
0.73,-2.96,Healthy,Tomato leaf,0.891,49.037
0.73,-2.96,Healthy,Tomato leaf,0.891,52.038
0.73,-2.96,Healthy,Tomato leaf,0.891,55.101
0.73,-2.96,Healthy,Tomato leaf,0.891,58.385
0.73,-2.96,Healthy,Tomato leaf,0.891,61.403
0.73,-2.96,Healthy,Tomato leaf,0.891,64.522
0.73,-2.96,Healthy,Tomato leaf,0.891,67.665
0.73,-2.96,Healthy,Tomato leaf,0.891,70.831
0.73,-2.96,Healthy,Tomato leaf,0.891,73.857
0.73,-2.96,Healthy,Tomato leaf,0.891,77.255
0.73,-2.96,Healthy,Tomato leaf,0.891,80.607
0.73,-2.96,Healthy,Tomato leaf,0.891,83.931
0.73,-2.96,Healthy,Tomato leaf,0.891,87.463
0.73,-2.96,Healthy,Tomato leaf,0.891,90.704
0.73,-2.96,Healthy,Tomato leaf,0.891,93.749
0.73,-2.96,Healthy,Tomato leaf,0.891,97.091
0.73,-2.96,Healthy,Tomato leaf,0.891,100.795
0.73,-2.96,Healthy,Tomato leaf,0.891,103.894
0.73,-2.96,Healthy,Tomato leaf,0.891,107.215
0.73,-2.96,Healthy,Tomato leaf,0.891,110.502
0.73,-2.96,Healthy,Tomato leaf,0.891,113.79
0.73,-2.96,Healthy,Tomato leaf,0.891,117.029
0.73,-2.96,Healthy,Tomato leaf,0.891,120.168
0.73,-2.96,Healthy,Tomato leaf,0.891,123.341
0.73,-2.96,Healthy,Tomato leaf,0.891,126.497
0.73,-2.96,Healthy,Tomato leaf,0.891,129.605
0.73,-2.96,Healthy,Tomato leaf,0.891,132.694
0.73,-2.96,Healthy,Tomato leaf,0.891,135.86
0.73,-2.96,Healthy,Tomato leaf,0.891,139.139
0.73,-2.96,Healthy,Tomato leaf,0.891,142.3
0.73,-2.96,Healthy,Tomato leaf,0.891,145.55
0.73,-2.96,Healthy,Tomato leaf,0.891,148.672
0.73,-2.96,Healthy,Tomato leaf,0.891,151.891
0.73,-2.96,Healthy,Tomato leaf,0.891,155.07
0.73,-2.96,Healthy,Tomato leaf,0.891,158.435
0.73,-2.96,Healthy,Tomato leaf,0.891,161.897
0.73,-2.96,Healthy,Tomato leaf,0.891,164.987
0.73,-2.96,Healthy,Tomato leaf,0.891,168.255
0.73,-2.96,Healthy,Tomato leaf,0.891,171.581
0.73,-2.96,Healthy,Tomato leaf,0.891,174.614
0.73,-2.96,Healthy,Tomato leaf,0.891,177.86
0.73,-2.96,Healthy,Tomato leaf,0.891,181.174
0.73,-2.96,Healthy,Tomato leaf,0.891,184.245
0.73,-2.96,Healthy,Tomato leaf,0.891,187.249
0.73,-2.96,Healthy,Tomato leaf,0.891,190.641
0.73,-2.96,Healthy,Tomato leaf,0.891,193.69
0.73,-2.96,Healthy,Tomato leaf,0.891,196.848
0.73,-2.96,Healthy,Tomato leaf,0.891,200.185
0.73,-2.96,Healthy,Tomato leaf,0.891,203.532
0.73,-2.96,Healthy,Tomato leaf,0.891,207.031
0.73,-2.96,Healthy,Tomato leaf,0.891,210.369
0.73,-2.96,Healthy,Tomato leaf,0.891,213.445
0.73,-2.96,Healthy,Tomato leaf,0.891,216.654
0.73,-2.96,Healthy,Tomato leaf,0.891,219.834
0.73,-2.96,Healthy,Tomato leaf,0.891,223.115
0.73,-2.96,Healthy,Tomato leaf,0.891,226.366
0.73,-2.96,Healthy,Tomato leaf,0.891,229.831
0.73,-2.96,Healthy,Tomato leaf,0.891,232.892
0.73,-2.96,Healthy,Tomato leaf,0.891,236.059
0.73,-2.96,Healthy,Tomato leaf,0.891,239.404
0.73,-2.96,Healthy,Tomato leaf,0.891,242.756
0.73,-2.96,Healthy,Tomato leaf,0.891,245.86
0.73,-2.96,Healthy,Tomato leaf,0.891,249.139
0.73,-2.96,Healthy,Tomato leaf,0.891,252.273
0.73,-2.96,Healthy,Tomato leaf,0.891,255.345
0.73,-2.96,Healthy,Tomato leaf,0.891,258.522
0.73,-2.96,Healthy,Tomato leaf,0.891,261.804
0.73,-2.96,Healthy,Tomato leaf,0.891,265.044
0.73,-2.96,Healthy,Tomato leaf,0.891,268.465
0.73,-2.96,Healthy,Tomato leaf,0.891,271.845
0.73,-2.96,Healthy,Tomato leaf,0.891,275.122
0.73,-2.96,Healthy,Tomato leaf,0.891,278.459
0.73,-2.96,Healthy,Tomato leaf,0.891,281.571
0.73,-2.96,Healthy,Tomato leaf,0.891,284.951
0.73,-2.96,Healthy,Tomato leaf,0.891,287.98
0.73,-2.96,Healthy,Tomato leaf,0.891,291.308
0.73,-2.96,Healthy,Tomato leaf,0.891,294.443
0.73,-2.96,Healthy,Tomato leaf,0.891,297.889
0.73,-2.96,Healthy,Tomato leaf,0.891,301.157
0.73,-2.96,Healthy,Tomato leaf,0.891,304.535
0.73,-2.96,Healthy,Tomato leaf,0.891,307.692
0.73,-2.96,Healthy,Tomato leaf,0.891,310.731
0.73,-2.96,Healthy,Tomato leaf,0.891,314.002
1.02,-2.62,Unhealthy,Corn Gray leaf spot,0.305,318.283
1.38,-2.21,Unhealthy,Corn leaf blight,0.66,371.235
1.57,-0.42,Unhealthy,Corn leaf blight,0.567,381.718
2.52,-0.22,Healthy,Blueberry leaf,0.509,384.761
3.12,-1.19,Healthy,Blueberry leaf,0.506,388.065
3.21,-1.16,Healthy,Blueberry leaf,0.506,391.183
3.21,-1.16,Healthy,Blueberry leaf,0.506,394.35
3.21,-1.16,Unhealthy,Corn leaf blight,0.543,400.099
3.75,-1.14,Unhealthy,Corn leaf blight,0.441,403.352
3.58,-1.04,Unhealthy,Corn leaf blight,0.531,407.05
3.86,-0.8,Unhealthy,Corn leaf blight,0.363,410.755
6.55,-0.91,Healthy,Peach leaf,0.428,419.572
7.26,0.09,Healthy,Bell_pepper leaf,0.636,427.698
7.64,-0.39,Healthy,Strawberry leaf,0.313,433.791
0.0,-0.0,Unhealthy,Corn leaf blight,0.636,11.966
-1.37,-0.0,Unhealthy,Corn leaf blight,0.373,23.677
6.98,-5.79,Unhealthy,grape leaf black rot,0.36,77.341
4.16,0.93,Healthy,Tomato leaf,0.354,91.246
3.89,1.58,Healthy,Apple leaf,0.632,94.391
-4.27,1.41,Unhealthy,Tomato Septoria leaf spot,0.378,203.049
1.62,1.24,Healthy,grape leaf,0.408,395.217
1.93,0.4,Unhealthy,Corn leaf blight,0.415,399.686
1.93,0.4,Healthy,Raspberry leaf,0.712,403.4
1.93,0.4,Healthy,Blueberry leaf,0.408,407.014
3.2,-4.26,Unhealthy,Corn leaf blight,0.611,410.122
3.36,-4.77,Unhealthy,Corn leaf blight,0.533,413.753
5.07,-10.59,Healthy,Peach leaf,0.328,425.45
6.96,-9.11,Healthy,Soyabean leaf,0.524,432.802
-2.6,-4.44,Unhealthy,Corn leaf blight,0.313,467.024
-2.59,-4.53,Unhealthy,Corn leaf blight,0.39,471.353
1.12,-2.85,Unhealthy,Corn leaf blight,0.325,477.607
2.99,-1.95,Healthy,Soyabean leaf,0.369,481.335
3.16,-1.87,Unhealthy,Corn leaf blight,0.358,484.703
6.87,-0.07,Healthy,Peach leaf,0.425,495.255
6.57,2.22,Unhealthy,Corn leaf blight,0.465,503.524
6.57,2.22,Unhealthy,Corn Gray leaf spot,0.301,507.533
6.19,-8.01,Unhealthy,Corn leaf blight,0.551,541.641
4.68,-7.85,Unhealthy,Corn leaf blight,0.51,545.705
3.71,-7.57,Unhealthy,Corn leaf blight,0.677,549.328
-0.16,-6.36,Healthy,Soyabean leaf,0.546,555.518
-0.16,-6.36,Healthy,Strawberry leaf,0.68,558.932
-2.34,-6.16,Healthy,Tomato leaf,0.667,561.997
-6.97,-4.04,Healthy,Peach leaf,0.785,578.434
-5.42,-2.97,Healthy,Strawberry leaf,0.708,581.724
-2.67,-0.37,Healthy,Strawberry leaf,0.602,592.489
-0.63,1.6,Healthy,Apple leaf,0.766,596.257
0.95,3.14,Healthy,grape leaf,0.867,600.663
